"","data_date","ID","Payment","Payment.Date"
"835","2011-01-19",242,20,"2010-12-14"
"836","2011-01-19",243,-0.25,"2011-01-19"
"839","2011-02-23",3,5,"2011-01-28"
"853","2011-02-23",33,42,"2011-01-26"
"869","2011-02-23",57,20,"2011-02-02"
"871","2011-02-23",61,5,"2011-02-22"
"882","2011-02-23",84,25,"2011-01-31"
"888","2011-02-23",99,20,"2011-02-04"
"890","2011-02-23",106,20,"2011-03-08"
"893","2011-02-23",109,15,"2011-01-28"
"896","2011-02-23",116,20,"2011-02-18"
"901","2011-02-23",122,20,"2011-01-28"
"912","2011-02-23",142,10,"2011-02-01"
"913","2011-02-23",147,20,"2011-02-23"
"915","2011-02-23",156,15,"2011-02-14"
"917","2011-02-23",161,20,"2011-01-20"
"924","2011-02-23",172,15,"2011-02-23"
"930","2011-02-23",182,10,"2011-02-02"
"932","2011-02-23",185,5,"2011-02-04"
"933","2011-02-23",186,5,"2011-01-10"
"940","2011-02-23",198,37,"2011-02-23"
"941","2011-02-23",199,20,"2011-01-27"
"949","2011-02-23",209,10,"2011-01-20"
"950","2011-02-23",212,40,"2011-01-25"
"952","2011-02-23",219,20,"2011-01-11"
"955","2011-02-23",222,10,"2011-02-22"
"959","2011-02-23",228,40,"2011-02-01"
"970","2011-02-23",245,30,"2011-01-10"
"975","2011-04-28",7,20,"2011-03-15"
"980","2011-04-28",16,10,"2011-04-07"
"981","2011-04-28",17,10.38,"2011-04-18"
"983","2011-04-28",26,10,"2011-03-07"
"984","2011-04-28",28,20,"2011-04-06"
"987","2011-04-28",33,2.5,"2011-04-18"
"990","2011-04-28",37,5,"2011-03-16"
"998","2011-04-28",49,20,"2011-04-05"
"999","2011-04-28",51,20,"2011-04-18"
"1023","2011-04-28",96,5,"2011-04-18"
"1027","2011-04-28",102,33.5,"2011-02-24"
"1033","2011-04-28",117,25,"2011-03-07"
"1038","2011-04-28",124,10,"2011-04-11"
"1049","2011-04-28",142,10,"2011-04-11"
"1052","2011-04-28",156,20,"2011-04-11"
"1056","2011-04-28",163,40,"2011-03-09"
"1059","2011-04-28",168,12,"2011-04-15"
"1063","2011-04-28",174,20,"2011-03-14"
"1067","2011-04-28",182,20,"2011-03-10"
"1073","2011-04-28",190,15,"2011-03-16"
"1077","2011-04-28",198,16,"2011-04-18"
"1078","2011-04-28",199,10,"2011-04-16"
"1091","2011-04-28",221,60,"2011-04-13"
"1092","2011-04-28",222,10,"2011-04-15"
"1093","2011-04-28",224,20,"2011-03-07"
"1108","2011-06-14",3,15.75,"2011-05-26"
"1117","2011-06-14",17,9.5,"2011-06-14"
"1120","2011-06-14",26,10,"2011-05-20"
"1121","2011-06-14",28,20,"2011-06-11"
"1131","2011-06-14",40,20,"2011-05-26"
"1142","2011-06-14",58,20,"2011-04-19"
"1144","2011-06-14",62,40,"2011-06-07"
"1158","2011-06-14",89,20,"2011-06-14"
"1159","2011-06-14",90,25,"2011-05-09"
"1164","2011-06-14",99,20,"2011-05-09"
"1166","2011-06-14",106,40,"2011-06-09"
